segment,observed_hours,estimated_bowl_loss_g,share_percent,estimated_rate_g_per_hour,method_note
凌晨 00-06,24,34.58,30.9,1.44,按13个称重区间经过时间均匀分配；不是逐小时实测
上午 06-12,24,33.35,29.8,1.39,按13个称重区间经过时间均匀分配；不是逐小时实测
下午 12-18,24,25.48,22.8,1.06,按13个称重区间经过时间均匀分配；不是逐小时实测
晚上 18-24,22.93,18.58,16.6,0.81,按13个称重区间经过时间均匀分配；不是逐小时实测
